locationName,fullAddress,overallRating,latitude,longitude
Lakeline,"14028 US-183 Suite 210 Ste 210, Austin, TX 78717",4.1,30.4768398,-97.8039234
Woodlands,"9595 Six Pines Dr Suite 100 Ste 100, The Woodlands, TX 77380",4.1,30.1643351,-95.4615408
Town & Country,"770 W Sam Houston Pkwy N Suite 100 Ste 100, Houston, TX 77024",4.2,29.776384,-95.5619181
West Little Rock,"12210 W Markham St, Little Rock, AR 72211",4.4,34.7551578,-92.410792
Kingsgate,"8201 Quaker Ave #118, Lubbock, TX 79424",4.2,33.5185839,-101.9037042
Mockingbird,"3072 Mockingbird Ln, Dallas, TX 75205",4.3,32.8371926,-96.7812095
West Grand,"23322 Mercantile Pkwy, Katy, TX 77449",4.3,29.79027159999999,-95.7756095
South Arlington,"4201 S Cooper St Suite 731, Arlington, TX 76015",4.1,32.678641,-97.13438
McKinney,"3625 W University Dr, McKinney, TX 75071",4.2,33.216663,-96.659664
Pearland,"11200 Broadway St Suite 1600, Pearland, TX 77584",4.1,29.5519046,-95.3943803
River Oaks,"2047-A W Gray St, Houston, TX 77019",4.3,29.7524194,-95.410356
First Colony,"2675 Town Center Blvd N, Sugar Land, TX 77479",4.3,29.5883334,-95.6287228
San Tan Village,"2156 E Williams Field Rd Suite 101 Ste 101, Gilbert, AZ 85296",4.3,33.3088639,-111.7434401
Carillon,"10001 Westheimer Rd Suite 2123 Ste 2123, Houston, TX 77042",4.3,29.7365189,-95.55185019999999
Coit & Campbell,"1320 W Campbell Rd, Richardson, TX 75080",4.1,32.9787503,-96.765334
Connecticut Ave. ,"242 Crown Park Ave, Gaithersburg, MD 20878",4.1,38.904788,-77.041287
Arboretum,"9828 Great Hills Trl Suite 650 Ste 650, Austin, TX 78759",4.3,30.395668,-97.747169
Sunset Valley,"5493 Brodie Ln, Austin, TX 78745",4.2,30.229638,-97.81963599999999
Camp Bowie,"6410 Camp Bowie Blvd, Fort Worth, TX 76116",4.3,32.7289868,-97.415673
Reston,"1833 Fountain Dr, Reston, VA 20190",4.1,38.9608096,-77.3565718
Park North,"722 Northwest Loop 410, San Antonio, TX 78216",4.3,29.5197445,-98.5045282
Parkway Village,"1560 Eldridge Pkwy Suite 190, Houston, TX 77077",4.4,29.75669359999999,-95.6279395
Buford,"1795 Mall of Georgia Blvd, Buford, GA 30519",4.2,34.06169200000001,-83.991745
Conroe,"247 S Loop 336 W Ste. 700, Conroe, TX 77304",4.2,30.278099,-95.461601
Presidio Junction,"8825 N Fwy Suite 109, Fort Worth, TX 76131",3.9,32.8999576,-97.3188303
Overton Park,"4626 SW Loop 820, Fort Worth, TX 76109",4.0,32.683295,-97.39303190000001
DFW,"3200 E Airfield Dr, Dallas, TX 75261",3.9,32.900746,-97.040142
Collin Creek,"520 W 15th St, Plano, TX 75075",4.3,33.018628,-96.71199399999999
Tulsa Hills,"8115 S Olympia Ave, Tulsa, OK 74132",4.3,36.0453828,-96.00366819999999
Shops at Martial,"2207-I Kaliste Saloom Rd, Lafayette, LA 70508",4.4,30.1638488,-92.0400909
